1681323432671,129,S01_APC_T01_Launch_user3,200,"Number of samples in transaction : 9, number of failing samples : 0",AddProductsToCart 1-4,,true,,16917,3819,5,5,null,0,1268,33
1681323432754,45,S01_APC_T01_Launch_REQ01_MAIN,200,OK,AddProductsToCart 1-4,text,true,,2399,375,5,5,http://localhost/,44,0,32
1681323432801,20,S01_APC_T01_Launch_REQ02_FEATURED_ITEM,200,,AddProductsToCart 1-4,text,true,,9296,430,5,5,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,20,0,1
1681323432883,13,api_req_DEFAULT,200,,AddProductsToCart 1-4,text,true,,1148,400,5,5,http://localhost:8080/api/v1/store/DEFAULT,13,0,0
1681323432897,8,api_req_content_pages,200,,AddProductsToCart 1-4,text,true,,496,432,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,8,0,0
1681323432906,6,api_req_category,200,,AddProductsToCart 1-4,text,true,,1516,427,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,5,0,0
1681323432912,12,api_req_product_1_price,200,,AddProductsToCart 1-4,text,true,,516,438,5,5,http://localhost:8080/api/v1/product/1/price/,10,0,0
1681323432924,7,api_req_product_50_price,200,,AddProductsToCart 1-4,text,true,,514,439,5,5,http://localhost:8080/api/v1/product/50/price/,6,0,0
1681323432931,10,api_req_product_51_price,200,,AddProductsToCart 1-4,text,true,,516,439,5,5,http://localhost:8080/api/v1/product/51/price/,8,0,0
1681323432941,8,api_req_product_52_price,200,,AddProductsToCart 1-4,text,true,,516,439,5,5,http://localhost:8080/api/v1/product/52/price/,6,0,0
1681323432671,127,S01_APC_T01_Launch_user4,200,"Number of samples in transaction : 9, number of failing samples : 0",AddProductsToCart 1-5,,true,,16917,3819,5,5,null,0,1631,33
1681323432754,45,S01_APC_T01_Launch_REQ01_MAIN,200,OK,AddProductsToCart 1-5,text,true,,2399,375,5,5,http://localhost/,44,0,32
1681323432801,20,S01_APC_T01_Launch_REQ02_FEATURED_ITEM,200,,AddProductsToCart 1-5,text,true,,9296,430,5,5,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,20,0,1
1681323432883,12,api_req_DEFAULT,200,,AddProductsToCart 1-5,text,true,,1148,400,5,5,http://localhost:8080/api/v1/store/DEFAULT,12,0,0
